sex,year,agecat_1,loc,deaths,PYO,births,y_bloc
m,2003,55,Takaungu Mavueni,9,364.91,386,2003-06
m,2003,65,Takaungu Mavueni,14,185.77,386,2003-06
m,2003,5,Takaungu Mavueni,8,3392.05,386,2003-06
m,2003,15,Takaungu Mavueni,2,1760.76,386,2003-06
m,2003,1,Takaungu Mavueni,17,1612.02,386,2003-06
m,2003,45,Takaungu Mavueni,4,530.67,386,2003-06
m,2003,0,Takaungu Mavueni,6,28.92,386,2003-06
m,2003,35,Tezo,12,526.89,317,2003-06
m,2003,0.0767,Tezo,5,291.1,317,2003-06
m,2003,45,Tezo,9,405.95,317,2003-06
m,2003,75,Tezo,10,85.14,317,2003-06
m,2003,65,Tezo,9,178.47,317,2003-06
m,2003,55,Tezo,11,277.68,317,2003-06
m,2003,0,Tezo,9,23.75,317,2003-06
m,2003,5,Tezo,4,2716.93,317,2003-06
m,2003,15,Tezo,3,1727.61,317,2003-06
m,2003,25,Tezo,2,960.44,317,2003-06
m,2003,1,Tezo,9,1378.16,317,2003-06
m,2003,25,unknown,1,46.84,6,2003-06
m,2003,1,unknown,0,55.33,6,2003-06
m,2003,0.0767,unknown,0,7.33,6,2003-06
m,2003,35,unknown,0,28.7,6,2003-06
m,2003,0,unknown,0,0.55,6,2003-06
m,2003,45,unknown,0,15.95,6,2003-06
m,2003,65,unknown,0,4.13,6,2003-06
m,2003,5,unknown,1,106.76,6,2003-06
m,2003,15,unknown,1,67.26,6,2003-06
m,2003,55,unknown,1,9.53,6,2003-06
m,2003,15,Ziani,2,906.4,216,2003-06
m,2003,45,Ziani,7,236.48,216,2003-06
m,2003,0,Ziani,5,16.37,216,2003-06
m,2003,35,Ziani,6,303.4,216,2003-06
m,2003,65,Ziani,6,115.66,216,2003-06
m,2003,25,Ziani,6,390.01,216,2003-06
m,2003,1,Ziani,9,900.8,216,2003-06
m,2003,0.0767,Ziani,4,211.33,216,2003-06
m,2003,5,Ziani,5,2016.3,216,2003-06
m,2003,55,Ziani,4,207.56,216,2003-06
m,2003,75,Ziani,8,62.13,216,2003-06
f,2004,0.0767,Banda ra salam,2,145.23,148,2003-06
f,2004,75,Banda ra salam,4,48.88,148,2003-06
f,2004,65,Banda ra salam,3,123.5,148,2003-06
f,2004,35,Banda ra salam,3,393.69,148,2003-06
f,2004,45,Banda ra salam,1,360.83,148,2003-06
f,2004,25,Banda ra salam,2,564.44,148,2003-06
f,2004,1,Banda ra salam,4,661.87,148,2003-06
f,2004,0,Banda ra salam,5,11.37,148,2003-06
f,2004,15,Banda ra salam,1,809.58,148,2003-06
f,2004,55,Banda ra salam,3,254.25,148,2003-06
f,2004,5,Banda ra salam,1,1358.35,148,2003-06
f,2004,55,Chasimba,9,438.4,279,2003-06
f,2004,75,Chasimba,5,87.04,279,2003-06
f,2004,25,Chasimba,5,1064.54,279,2003-06
f,2004,0.0767,Chasimba,5,282.86,279,2003-06
f,2004,5,Chasimba,1,2669.84,279,2003-06
f,2004,35,Chasimba,7,791.51,279,2003-06
f,2004,1,Chasimba,4,1329.2,279,2003-06
f,2004,45,Chasimba,3,641.59,279,2003-06
f,2004,15,Chasimba,5,1603.84,279,2003-06
f,2004,65,Chasimba,9,229.32,279,2003-06
f,2004,0,Chasimba,8,21.4,279,2003-06
f,2004,65,Gede,0,61.93,102,2003-06
f,2004,5,Gede,2,850.25,102,2003-06
f,2004,25,Gede,1,316.42,102,2003-06
f,2004,35,Gede,2,251.19,102,2003-06
f,2004,0,Gede,4,7.21,102,2003-06
f,2004,55,Gede,3,113.83,102,2003-06
f,2004,75,Gede,1,27.03,102,2003-06
f,2004,45,Gede,0,199.95,102,2003-06
f,2004,1,Gede,1,417.34,102,2003-06
f,2004,0.0767,Gede,2,98.96,102,2003-06
f,2004,15,Gede,1,579.08,102,2003-06
f,2004,75,Jaribuni,1,33.21,74,2003-06
f,2004,0.0767,Jaribuni,2,83.71,74,2003-06
f,2004,15,Jaribuni,1,379.25,74,2003-06
f,2004,0,Jaribuni,2,5.86,74,2003-06
f,2004,45,Jaribuni,2,113.79,74,2003-06
f,2004,35,Jaribuni,3,229.03,74,2003-06
f,2004,5,Jaribuni,1,659.72,74,2003-06
f,2004,1,Jaribuni,3,319.07,74,2003-06
f,2004,65,Jaribuni,1,64.74,74,2003-06
f,2004,55,Jaribuni,0,98.02,74,2003-06
f,2004,25,Jaribuni,0,249.7,74,2003-06
f,2004,45,Junju,9,832.02,435,2003-06
f,2004,25,Junju,13,1603.1,435,2003-06
f,2004,75,Junju,5,67.78,435,2003-06
f,2004,0.0767,Junju,10,405.6,435,2003-06
f,2004,65,Junju,8,234.16,435,2003-06
f,2004,0,Junju,11,33.23,435,2003-06
f,2004,15,Junju,5,2284.13,435,2003-06
f,2004,55,Junju,15,498.3,435,2003-06
f,2004,5,Junju,7,3653.14,435,2003-06
f,2004,35,Junju,10,1027.25,435,2003-06
f,2004,1,Junju,15,1729.31,435,2003-06
f,2004,45,Kauma,1,260.46,148,2003-06
f,2004,35,Kauma,2,356.55,148,2003-06
f,2004,5,Kauma,0,1119.67,148,2003-06
f,2004,0.0767,Kauma,2,147.98,148,2003-06
f,2004,65,Kauma,2,103.6,148,2003-06
f,2004,0,Kauma,5,11.56,148,2003-06
f,2004,55,Kauma,2,195.05,148,2003-06
f,2004,15,Kauma,2,714.87,148,2003-06
f,2004,75,Kauma,4,41.88,148,2003-06
f,2004,1,Kauma,4,578.35,148,2003-06
f,2004,25,Kauma,2,498.13,148,2003-06
f,2004,55,Kilifi township,8,527.05,550,2003-06
f,2004,25,Kilifi township,22,3022.15,550,2003-06
f,2004,15,Kilifi township,4,3318.94,550,2003-06
f,2004,45,Kilifi township,13,1030.19,550,2003-06
f,2004,75,Kilifi township,6,78.34,550,2003-06
f,2004,0,Kilifi township,22,41.36,550,2003-06
f,2004,35,Kilifi township,26,1758.49,550,2003-06
f,2004,5,Kilifi township,7,4721.14,550,2003-06
f,2004,1,Kilifi township,14,2302.23,550,2003-06
f,2004,0.0767,Kilifi township,11,535.36,550,2003-06
f,2004,65,Kilifi township,14,203.84,550,2003-06
f,2004,0.0767,Matsangoni,2,197.68,208,2003-06
f,2004,1,Matsangoni,2,929.93,208,2003-06
f,2004,65,Matsangoni,6,143.9,208,2003-06
f,2004,75,Matsangoni,3,55.95,208,2003-06
f,2004,0,Matsangoni,2,15.85,208,2003-06
f,2004,55,Matsangoni,6,297.86,208,2003-06
f,2004,25,Matsangoni,0,788.04,208,2003-06
f,2004,45,Matsangoni,4,383.54,208,2003-06
f,2004,15,Matsangoni,1,1168.34,208,2003-06
f,2004,35,Matsangoni,4,509.36,208,2003-06
f,2004,5,Matsangoni,1,1921.55,208,2003-06
f,2004,65,Mtwapa,2,95.12,153,2003-06
f,2004,1,Mtwapa,3,685.76,153,2003-06
f,2004,15,Mtwapa,4,876.7,153,2003-06
f,2004,25,Mtwapa,9,706.91,153,2003-06
f,2004,0,Mtwapa,7,11.98,153,2003-06
f,2004,0.0767,Mtwapa,5,153.55,153,2003-06
f,2004,55,Mtwapa,3,180.81,153,2003-06
f,2004,45,Mtwapa,2,302.81,153,2003-06
f,2004,5,Mtwapa,4,1427.75,153,2003-06
f,2004,35,Mtwapa,1,412.03,153,2003-06
f,2004,75,Mtwapa,2,30.28,153,2003-06
f,2004,55,Ngerenya,6,324.93,242,2003-06
f,2004,45,Ngerenya,4,441.52,242,2003-06
f,2004,0,Ngerenya,5,18.35,242,2003-06
f,2004,0.0767,Ngerenya,5,220.78,242,2003-06
f,2004,35,Ngerenya,1,542.96,242,2003-06
f,2004,75,Ngerenya,3,63.97,242,2003-06
f,2004,5,Ngerenya,2,1999.93,242,2003-06
f,2004,15,Ngerenya,1,1252.58,242,2003-06
f,2004,1,Ngerenya,7,966.04,242,2003-06
f,2004,25,Ngerenya,6,809.92,242,2003-06
f,2004,65,Ngerenya,3,171.56,242,2003-06
f,2004,0.0767,Roka,6,230.68,239,2003-06
f,2004,45,Roka,3,403.33,239,2003-06
f,2004,15,Roka,2,1217.67,239,2003-06
f,2004,25,Roka,10,834.48,239,2003-06
f,2004,55,Roka,5,330.49,239,2003-06
f,2004,65,Roka,1,156.86,239,2003-06
f,2004,35,Roka,4,567.01,239,2003-06
f,2004,0,Roka,5,18.02,239,2003-06
f,2004,1,Roka,8,1041.61,239,2003-06
f,2004,75,Roka,7,78.73,239,2003-06
f,2004,5,Roka,4,2110.02,239,2003-06
f,2004,65,Sokoke,4,121.16,139,2003-06
f,2004,0,Sokoke,1,10.67,139,2003-06
f,2004,5,Sokoke,2,1294.67,139,2003-06
f,2004,0.0767,Sokoke,4,136.69,139,2003-06
f,2004,75,Sokoke,5,50.17,139,2003-06
f,2004,15,Sokoke,1,631.42,139,2003-06
f,2004,55,Sokoke,1,195.64,139,2003-06
f,2004,45,Sokoke,3,273.98,139,2003-06
f,2004,25,Sokoke,5,482.36,139,2003-06
f,2004,35,Sokoke,7,396.44,139,2003-06
f,2004,1,Sokoke,3,610.61,139,2003-06
f,2004,65,Takaungu Mavueni,12,248.34,381,2003-06
f,2004,75,Takaungu Mavueni,9,133.05,381,2003-06
f,2004,45,Takaungu Mavueni,11,820.14,381,2003-06
f,2004,35,Takaungu Mavueni,9,934.5,381,2003-06
f,2004,15,Takaungu Mavueni,8,1932.96,381,2003-06
f,2004,0,Takaungu Mavueni,11,29.11,381,2003-06
f,2004,55,Takaungu Mavueni,8,458.86,381,2003-06
f,2004,0.0767,Takaungu Mavueni,5,391.49,381,2003-06
f,2004,5,Takaungu Mavueni,5,3318.37,381,2003-06
f,2004,25,Takaungu Mavueni,7,1516.26,381,2003-06
f,2004,1,Takaungu Mavueni,21,1691.24,381,2003-06
f,2004,45,Tezo,7,616.59,367,2003-06
f,2004,0.0767,Tezo,6,310.35,367,2003-06
f,2004,0,Tezo,8,27.28,367,2003-06
f,2004,5,Tezo,3,2846.76,367,2003-06
f,2004,55,Tezo,10,423.54,367,2003-06
f,2004,75,Tezo,4,78.94,367,2003-06
f,2004,25,Tezo,8,1253.12,367,2003-06
f,2004,1,Tezo,7,1429.82,367,2003-06
f,2004,15,Tezo,1,1889.92,367,2003-06
f,2004,65,Tezo,9,238.16,367,2003-06
f,2004,35,Tezo,7,799.69,367,2003-06
f,2004,0.0767,unknown,0,9.37,7,2003-06
f,2004,0,unknown,2,0.62,7,2003-06
f,2004,75,unknown,0,2.14,7,2003-06
f,2004,65,unknown,0,4.51,7,2003-06
f,2004,55,unknown,0,11.45,7,2003-06
f,2004,1,unknown,0,37.39,7,2003-06
f,2004,5,unknown,0,86.72,7,2003-06
f,2004,25,unknown,1,48.94,7,2003-06
f,2004,15,unknown,0,56.23,7,2003-06
f,2004,45,unknown,2,13.93,7,2003-06
f,2004,35,unknown,0,18.77,7,2003-06
f,2004,75,Ziani,6,57.19,230,2003-06
f,2004,65,Ziani,2,155.97,230,2003-06
f,2004,0.0767,Ziani,2,205.32,230,2003-06
f,2004,15,Ziani,1,1091.4,230,2003-06
f,2004,25,Ziani,3,829.33,230,2003-06
f,2004,45,Ziani,1,472.6,230,2003-06
f,2004,55,Ziani,3,320.07,230,2003-06
